log_path,experiment,vdd,seed,sense_min_mV,sense_max_mV,sense_thresh_latency_ps,noise_amp,driver_scale,phase_ns
logs/noise-mismatch-10m/mismatch_mc.csv,Noise sweep 10m,1.1,42,860.0,900.4706,0.12499539999999999,10m,,
logs/noise-mismatch-10m/mismatch_mc.csv,Noise sweep 10m,0.9,43,860.0,900.4706,0.12499539999999999,10m,,
logs/noise-mismatch-10m/mismatch_mc.csv,Noise sweep 10m,1.0,43,860.0,900.4706,0.12499539999999999,10m,,
logs/noise-mismatch-10m/mismatch_mc.csv,Noise sweep 10m,1.1,43,860.0,900.4706,0.12499539999999999,10m,,
logs/noise-mismatch-10m/mismatch_mc.csv,Noise sweep 10m,0.9,44,860.0,900.4706,0.12499539999999999,10m,,
logs/noise-mismatch-10m/mismatch_mc.csv,Noise sweep 10m,1.0,44,860.0,900.4706,0.12499539999999999,10m,,
logs/noise-mismatch-10m/mismatch_mc.csv,Noise sweep 10m,1.1,44,860.0,900.4706,0.12499539999999999,10m,,
logs/noise-mismatch-10m/mismatch_mc.csv,Noise sweep 10m,0.9,45,860.0,900.4706,0.12499539999999999,10m,,
logs/noise-mismatch-10m/mismatch_mc.csv,Noise sweep 10m,1.0,45,860.0,900.4706,0.12499539999999999,10m,,
logs/noise-mismatch-10m/mismatch_mc.csv,Noise sweep 10m,1.1,45,860.0,900.4706,0.12499539999999999,10m,,
logs/noise-mismatch-10m/mismatch_mc.csv,Noise sweep 10m,0.9,46,860.0,900.4706,0.12499539999999999,10m,,
logs/noise-mismatch-10m/mismatch_mc.csv,Noise sweep 10m,1.0,46,860.0,900.4706,0.12499539999999999,10m,,
logs/noise-mismatch-10m/mismatch_mc.csv,Noise sweep 10m,1.1,46,860.0,900.4706,0.12499539999999999,10m,,
logs/noise-mismatch-10m/mismatch_mc.csv,Noise sweep 10m,0.9,47,860.0,900.4706,0.12499539999999999,10m,,
logs/noise-mismatch-10m/mismatch_mc.csv,Noise sweep 10m,1.0,47,860.0,900.4706,0.12499539999999999,10m,,
logs/noise-mismatch-10m/mismatch_mc.csv,Noise sweep 10m,1.1,47,860.0,900.4706,0.12499539999999999,10m,,
logs/noise-mismatch-10m/mismatch_mc.csv,Noise sweep 10m,0.9,48,860.0,900.4706,0.12499539999999999,10m,,
logs/noise-mismatch-10m/mismatch_mc.csv,Noise sweep 10m,1.0,48,860.0,900.4706,0.12499539999999999,10m,,
logs/noise-mismatch-10m/mismatch_mc.csv,Noise sweep 10m,1.1,48,860.0,900.4706,0.12499539999999999,10m,,
logs/noise-mismatch-10m/mismatch_mc.csv,Noise sweep 10m,0.9,49,860.0,900.4706,0.12499539999999999,10m,,
logs/noise-mismatch-10m/mismatch_mc.csv,Noise sweep 10m,1.0,49,860.0,900.4706,0.12499539999999999,10m,,
logs/noise-mismatch-10m/mismatch_mc.csv,Noise sweep 10m,1.1,49,860.0,900.4706,0.12499539999999999,10m,,
logs/noise-mismatch-10m/mismatch_mc.csv,Noise sweep 10m,0.9,50,860.0,900.4706,0.12499539999999999,10m,,
logs/noise-mismatch-10m/mismatch_mc.csv,Noise sweep 10m,1.0,50,860.0,900.4706,0.12499539999999999,10m,,
logs/noise-mismatch-10m/mismatch_mc.csv,Noise sweep 10m,1.1,50,860.0,900.4706,0.12499539999999999,10m,,
logs/noise-mismatch-10m-driver-1p5/mismatch_mc.csv,Noise sweep 10m / driver 1.50×,0.9,1,860.0006,900.4704,0.12499539999999999,10m,1.5,
logs/noise-mismatch-10m-driver-1p5/mismatch_mc.csv,Noise sweep 10m / driver 1.50×,1.0,1,860.0,900.3074,0.12499700000000001,10m,1.5,
logs/noise-mismatch-10m-driver-1p5/mismatch_mc.csv,Noise sweep 10m / driver 1.50×,1.1,1,860.0,900.3074,0.12499700000000001,10m,1.5,
logs/noise-mismatch-10m-driver-1p5/mismatch_mc.csv,Noise sweep 10m / driver 1.50×,0.9,2,860.0006,900.4704,0.12499539999999999,10m,1.5,
logs/noise-mismatch-10m-driver-1p5/mismatch_mc.csv,Noise sweep 10m / driver 1.50×,1.0,2,860.0,900.3074,0.12499700000000001,10m,1.5,
logs/noise-mismatch-10m-driver-1p5/mismatch_mc.csv,Noise sweep 10m / driver 1.50×,1.1,2,860.0,900.3074,0.12499700000000001,10m,1.5,
logs/noise-mismatch-10m-driver-1p5/mismatch_mc.csv,Noise sweep 10m / driver 1.50×,0.9,3,860.0006,900.4704,0.12499539999999999,10m,1.5,
logs/noise-mismatch-10m-driver-1p5/mismatch_mc.csv,Noise sweep 10m / driver 1.50×,1.0,3,860.0,900.3074,0.12499700000000001,10m,1.5,
logs/noise-mismatch-10m-driver-1p5/mismatch_mc.csv,Noise sweep 10m / driver 1.50×,1.1,3,860.0,900.3074,0.12499700000000001,10m,1.5,
