experiment,subset,log_path,noise_amp,driver_scale,phase_ns,vdd,seed,edyn_pJ,eword_pJ,sense_min_mV,sense_max_mV,sense_thresh_latency_ps,comp_toggle_latency_ps,comp_pass,headroom_histogram
Noise sweep 10m,,logs/noise-mismatch-10m/mismatch_mc.csv,10m,,,1.1,13,0.31080399999999997,3.3411500000000003,860.0,900.4706,0.12499539999999999,,failed,logs/noise-mismatch-10m/headroom_histogram.csv
Noise sweep 10m,,logs/noise-mismatch-10m/mismatch_mc.csv,10m,,,0.9,14,0.31080399999999997,3.3411500000000003,860.0,900.4706,0.12499539999999999,,failed,logs/noise-mismatch-10m/headroom_histogram.csv
Noise sweep 10m,,logs/noise-mismatch-10m/mismatch_mc.csv,10m,,,1.0,14,0.31080399999999997,3.3411500000000003,860.0,900.4706,0.12499539999999999,,failed,logs/noise-mismatch-10m/headroom_histogram.csv
Noise sweep 10m,,logs/noise-mismatch-10m/mismatch_mc.csv,10m,,,1.1,14,0.31080399999999997,3.3411500000000003,860.0,900.4706,0.12499539999999999,,failed,logs/noise-mismatch-10m/headroom_histogram.csv
Noise sweep 10m,,logs/noise-mismatch-10m/mismatch_mc.csv,10m,,,0.9,15,0.31080399999999997,3.3411500000000003,860.0,900.4706,0.12499539999999999,,failed,logs/noise-mismatch-10m/headroom_histogram.csv
Noise sweep 10m,,logs/noise-mismatch-10m/mismatch_mc.csv,10m,,,1.0,15,0.31080399999999997,3.3411500000000003,860.0,900.4706,0.12499539999999999,,failed,logs/noise-mismatch-10m/headroom_histogram.csv
Noise sweep 10m,,logs/noise-mismatch-10m/mismatch_mc.csv,10m,,,1.1,15,0.31080399999999997,3.3411500000000003,860.0,900.4706,0.12499539999999999,,failed,logs/noise-mismatch-10m/headroom_histogram.csv
Noise sweep 10m,,logs/noise-mismatch-10m/mismatch_mc.csv,10m,,,0.9,16,0.31080399999999997,3.3411500000000003,860.0,900.4706,0.12499539999999999,,failed,logs/noise-mismatch-10m/headroom_histogram.csv
Noise sweep 10m,,logs/noise-mismatch-10m/mismatch_mc.csv,10m,,,1.0,16,0.31080399999999997,3.3411500000000003,860.0,900.4706,0.12499539999999999,,failed,logs/noise-mismatch-10m/headroom_histogram.csv
Noise sweep 10m,,logs/noise-mismatch-10m/mismatch_mc.csv,10m,,,1.1,16,0.31080399999999997,3.3411500000000003,860.0,900.4706,0.12499539999999999,,failed,logs/noise-mismatch-10m/headroom_histogram.csv
Noise sweep 10m,,logs/noise-mismatch-10m/mismatch_mc.csv,10m,,,0.9,17,0.31080399999999997,3.3411500000000003,860.0,900.4706,0.12499539999999999,,failed,logs/noise-mismatch-10m/headroom_histogram.csv
Noise sweep 10m,,logs/noise-mismatch-10m/mismatch_mc.csv,10m,,,1.0,17,0.31080399999999997,3.3411500000000003,860.0,900.4706,0.12499539999999999,,failed,logs/noise-mismatch-10m/headroom_histogram.csv
Noise sweep 10m,,logs/noise-mismatch-10m/mismatch_mc.csv,10m,,,1.1,17,0.31080399999999997,3.3411500000000003,860.0,900.4706,0.12499539999999999,,failed,logs/noise-mismatch-10m/headroom_histogram.csv
Noise sweep 10m,,logs/noise-mismatch-10m/mismatch_mc.csv,10m,,,0.9,18,0.31080399999999997,3.3411500000000003,860.0,900.4706,0.12499539999999999,,failed,logs/noise-mismatch-10m/headroom_histogram.csv
Noise sweep 10m,,logs/noise-mismatch-10m/mismatch_mc.csv,10m,,,1.0,18,0.31080399999999997,3.3411500000000003,860.0,900.4706,0.12499539999999999,,failed,logs/noise-mismatch-10m/headroom_histogram.csv
Noise sweep 10m,,logs/noise-mismatch-10m/mismatch_mc.csv,10m,,,1.1,18,0.31080399999999997,3.3411500000000003,860.0,900.4706,0.12499539999999999,,failed,logs/noise-mismatch-10m/headroom_histogram.csv
Noise sweep 10m,,logs/noise-mismatch-10m/mismatch_mc.csv,10m,,,0.9,19,0.31080399999999997,3.3411500000000003,860.0,900.4706,0.12499539999999999,,failed,logs/noise-mismatch-10m/headroom_histogram.csv
Noise sweep 10m,,logs/noise-mismatch-10m/mismatch_mc.csv,10m,,,1.0,19,0.31080399999999997,3.3411500000000003,860.0,900.4706,0.12499539999999999,,failed,logs/noise-mismatch-10m/headroom_histogram.csv
Noise sweep 10m,,logs/noise-mismatch-10m/mismatch_mc.csv,10m,,,1.1,19,0.31080399999999997,3.3411500000000003,860.0,900.4706,0.12499539999999999,,failed,logs/noise-mismatch-10m/headroom_histogram.csv
Noise sweep 10m,,logs/noise-mismatch-10m/mismatch_mc.csv,10m,,,0.9,20,0.31080399999999997,3.3411500000000003,860.0,900.4706,0.12499539999999999,,failed,logs/noise-mismatch-10m/headroom_histogram.csv
Noise sweep 10m,,logs/noise-mismatch-10m/mismatch_mc.csv,10m,,,1.0,20,0.31080399999999997,3.3411500000000003,860.0,900.4706,0.12499539999999999,,failed,logs/noise-mismatch-10m/headroom_histogram.csv
Noise sweep 10m,,logs/noise-mismatch-10m/mismatch_mc.csv,10m,,,1.1,20,0.31080399999999997,3.3411500000000003,860.0,900.4706,0.12499539999999999,,failed,logs/noise-mismatch-10m/headroom_histogram.csv
Noise sweep 10m,,logs/noise-mismatch-10m/mismatch_mc.csv,10m,,,0.9,21,0.31080399999999997,3.3411500000000003,860.0,900.4706,0.12499539999999999,,failed,logs/noise-mismatch-10m/headroom_histogram.csv
Noise sweep 10m,,logs/noise-mismatch-10m/mismatch_mc.csv,10m,,,1.0,21,0.31080399999999997,3.3411500000000003,860.0,900.4706,0.12499539999999999,,failed,logs/noise-mismatch-10m/headroom_histogram.csv
Noise sweep 10m,,logs/noise-mismatch-10m/mismatch_mc.csv,10m,,,1.1,21,0.31080399999999997,3.3411500000000003,860.0,900.4706,0.12499539999999999,,failed,logs/noise-mismatch-10m/headroom_histogram.csv
Noise sweep 10m,,logs/noise-mismatch-10m/mismatch_mc.csv,10m,,,0.9,22,0.31080399999999997,3.3411500000000003,860.0,900.4706,0.12499539999999999,,failed,logs/noise-mismatch-10m/headroom_histogram.csv
Noise sweep 10m,,logs/noise-mismatch-10m/mismatch_mc.csv,10m,,,1.0,22,0.31080399999999997,3.3411500000000003,860.0,900.4706,0.12499539999999999,,failed,logs/noise-mismatch-10m/headroom_histogram.csv
Noise sweep 10m,,logs/noise-mismatch-10m/mismatch_mc.csv,10m,,,1.1,22,0.31080399999999997,3.3411500000000003,860.0,900.4706,0.12499539999999999,,failed,logs/noise-mismatch-10m/headroom_histogram.csv
Noise sweep 10m,,logs/noise-mismatch-10m/mismatch_mc.csv,10m,,,0.9,23,0.31080399999999997,3.3411500000000003,860.0,900.4706,0.12499539999999999,,failed,logs/noise-mismatch-10m/headroom_histogram.csv
