vdd,seed,edyn,eword,sense_min,sense_max
1.0,4,3.13128e-13,3.36612e-12,-2.948760e-04,2.949067e-04
1.0,5,3.13128e-13,3.36612e-12,-2.948760e-04,2.949067e-04
1.0,6,3.13128e-13,3.36612e-12,-2.948760e-04,2.949067e-04
1.0,7,3.13128e-13,3.36612e-12,-2.948760e-04,2.949067e-04
1.0,8,3.13128e-13,3.36612e-12,-2.948760e-04,2.949067e-04
1.0,9,3.13128e-13,3.36612e-12,-2.948760e-04,2.949067e-04
1.0,10,3.13128e-13,3.36612e-12,-2.948760e-04,2.949067e-04
1.0,11,3.13128e-13,3.36612e-12,-2.948760e-04,2.949067e-04
1.0,12,3.13128e-13,3.36612e-12,-2.948760e-04,2.949067e-04
1.0,13,3.13128e-13,3.36612e-12,-2.948760e-04,2.949067e-04
1.0,14,3.13128e-13,3.36612e-12,-2.948760e-04,2.949067e-04
1.0,15,3.13128e-13,3.36612e-12,-2.948760e-04,2.949067e-04
1.0,16,3.13128e-13,3.36612e-12,-2.948760e-04,2.949067e-04
1.0,17,3.13128e-13,3.36612e-12,-2.948760e-04,2.949067e-04
1.0,18,3.13128e-13,3.36612e-12,-2.948760e-04,2.949067e-04
1.0,19,3.13128e-13,3.36612e-12,-2.948760e-04,2.949067e-04
1.0,20,3.13128e-13,3.36612e-12,-2.948760e-04,2.949067e-04
1.0,21,3.13128e-13,3.36612e-12,-2.948760e-04,2.949067e-04
1.0,22,3.13128e-13,3.36612e-12,-2.948760e-04,2.949067e-04
1.0,23,3.13128e-13,3.36612e-12,-2.948760e-04,2.949067e-04
1.0,24,3.13128e-13,3.36612e-12,-2.948760e-04,2.949067e-04
1.0,25,3.13128e-13,3.36612e-12,-2.948760e-04,2.949067e-04
1.0,26,3.13128e-13,3.36612e-12,-2.948760e-04,2.949067e-04
1.0,27,3.13128e-13,3.36612e-12,-2.948760e-04,2.949067e-04
1.0,28,3.13128e-13,3.36612e-12,-2.948760e-04,2.949067e-04
1.0,29,3.13128e-13,3.36612e-12,-2.948760e-04,2.949067e-04
1.0,30,3.13128e-13,3.36612e-12,-2.948760e-04,2.949067e-04
1.0,31,3.13128e-13,3.36612e-12,-2.948760e-04,2.949067e-04
1.0,32,3.13128e-13,3.36612e-12,-2.948760e-04,2.949067e-04
1.0,33,3.13128e-13,3.36612e-12,-2.948760e-04,2.949067e-04
1.0,34,3.13128e-13,3.36612e-12,-2.948760e-04,2.949067e-04
1.0,35,3.13128e-13,3.36612e-12,-2.948760e-04,2.949067e-04
1.0,36,3.13128e-13,3.36612e-12,-2.948760e-04,2.949067e-04
